artist.inverted,track,x1st.week
Aaliyah,I Don't Wanna,84
Counting Crows,Hanginaround,84
"Hollister, Dave",Can't Stay,84
Kelis,Caught Out There,84
Creed,With Arms Wide Open,84
"Adkins, Trace",More,84
"Levert, Gerald",Mr. Too Damn Good,84
Sammie,I Like It,85
"McGraw, Tim",My Best Friend,85
Nine Days,Absolutely (Story Of A Girl),85
"Williams, Robbie",Angels,85
"Yearwood, Trisha",Real Live Woman,85
Juvenile,U Understand,85
"Mumba, Samantha",Gotta Tell You,85
Next,Wifey,85
Pink,Most Girls,85
Mya,The Best Of Me,85
Ja Rule,Between Me And You,85
"Brooks, Garth",Do What You Gotta Do,86
Metallica,No Leaf Clover (Live),86
Vitamin C,The Itch,86
"Stone, Angie",No More Rain (In This Cloud),86
Yankee Grey,Another Nine Minutes,86
"Wright, Chely",It Was,86
Metallica,I Disappear,86
"Gilman, Billy",One Voice,86
Ice Cube,You Can Do It,86
Lox,"Ryde or Die, Chick",86
"Paisley, Brad",Me Neither,87
M2M,Mirror Mirror,87
"Black, Clint",Been There,87
Eminem,The Way I Am,87
2 Pac,Baby Don't Cry (Keep Ya Head Up II),87
Rascal Flatts,Prayin' For Daylight,87
Clark Family Experience,Meanwhile Back At The Ranch,87
Montgomery Gentry,Daddy Won't Sell The Farm,87
"McEntire, Reba",What Do You Say,88
DMX,Party Up (Up In Here),88
Blink-182,All The Small Things,89
Kenny G,Auld Lang Syne (The Millenium Mix),89
"Wills, Mark",Back At One,89
Musiq,Just Friends (Sunny),89
Ludacris,What's Your Fantasy,89
Lonestar,Smile,89
Eve,Got It All,89
"McEntire, Reba",I'll Be,89
Tamia,Can't Go For That,90
"Iglesias, Enrique",Rhythm Divine,90
Mary Mary,Shackles (Praise You),90
"Brock, Chad",Yes!,90
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),91
"Price, Kelly",You Should've Told Me,91
"Fabian, Lara",I Will Love Again,91
Limp Bizkit,Re-Arranged,91
"Raye, Collin",Couldn't Last A Moment,91
Filter,Take A Picture,91
Sisqo,Got To Get It,92
"Jordan, Montell",Get It On.. Tonite,92
Anastacia,I'm Outta Love,92
En Vogue,Riddle,92
"Price, Kelly",Love Sets You Free,92
Funkmaster Flex,Do You,92
"Brock, Chad",A Country Boy Can Survive,93
Da Brat,That's What I'm Looking For,93
D'Angelo,Left & Right,93
Limp Bizkit,N 2 Gether Now,94
"Carter, Torrey",Take That,94
Fatboy Slim,The Rockafeller Skank,94
Joe,I Wanna Know,94
Eve,Love Is Blind,94
Shyne,Bad Boyz,94
SoulDecision,Faded,94
Cam'ron,What Means The World To You,94
Ginuwine,None Of Ur Friends Business,94
"Spencer, Tracie",Still In My Heart,95
"Heatherly, Eric",Flowers On The Wall,95
Before Dark,Monica,95
Brooks & Dunn,You'll Always Be Loved By Me,95
"Walker, Clay","Live, Laugh, Love",95
Jay-Z,Do It Again (Put Ya Hands Up),95
Ying Yang Twins,Whistle While You Twurk,95
"McKnight, Brian",Stay Or Let It Go,95
LFO,West Side Story,96
J-Shin,One Night Stand,96
Westlife,Swear It Again,96
"Levert, Gerald",Baby U Are,96
"Sheist, Shade",Where I Wanna Be,96
De La Soul,All Good?,96
Big Punisher,It's So Hard,96
Nu Flavor,3 Little Words,97
Trina,Pull Over,97
A*Teens,Dancing Queen,97
"Blige, Mary J.",Give Me You,97
"Cyrus, Billy Ray",You Won't Be Lonely Now,97
SheDaisy,Deck The Halls,97
Mystikal,Shake Ya Ass,97
"Tritt, Travis",Best Of Intentions,97
Ginuwine,The Best Man I Can Be,97
"Davidson, Clay",Unconditional,97
"Moore, Chante",Straight Up,98
DMX,What's My Name,98
"Diffie, Joe",The Quittin' Kind,98
"Braxton, Toni",Spanish Guitar,98
Tuesday,I Know,98
Tamar,If You Don't Wanna Love Me,98
Sting,Desert Rose,98
"Loveless, Patty",That's The Kind Of Mood I'm In,98
DMX,What You Want,98
Madison Avenue,Don't Call Me Baby,98
Jay-Z,Hey Papi,98
Master P,Souljas,98
Ghostface Killah,Cherchez LaGhost,98
"Worley, Darryl",When You Need My Love,98
Dream,He Loves U Not,99
"Smith, Will",Freakin' It,99
Zombie Nation,Kernkraft 400,99
LL Cool J,Imagine That,99
BBMak,Back Here,99
Lil Wayne,Tha Block Is Hot,99
Trick Daddy,Shut Up,99
"Hart, Beth",L.A. Song,99
"Cagle, Chris",My Love Goes On And On,99
"Eastsidaz, The",Got Beef,99
"Carter, Aaron",Aaron's Party (Come Get It),99
Amber,Sexual (Li Da Di),99
Baha Men,Who Let The Dogs Out,99
Fragma,Toca's Miracle,99
Lil' Mo,Ta Da,100
"Herndon, Ty",No Mercy,100
"Larrieux, Amel",Get Up,100
Drama,"Left, Right, Left",100
Nelly,(Hot S**t) Country Grammar,100
